country,year,region,population,life_expectancy,age5_surviving,babies_per_woman,gdp_per_capita,gdp_per_day
Albania,1990,Europe,3281453,73.3,95.94,2.97,4350,11.90965092
Albania,1991,Europe,3275438,73.4,96.12,2.92,3081,8.435318275
Albania,1992,Europe,3240613,73.6,96.27,2.87,2877,7.876796715
Albania,1993,Europe,3189623,73.6,96.4,2.82,3172,8.684462697
Albania,1994,Europe,3140634,73.6,96.54,2.77,3457,9.464750171
Albania,1995,Europe,3106727,73.7,96.68,2.72,3941,10.78986995
Albania,1996,Europe,3092034,73.8,96.82,2.67,4326,11.84394251
Albania,1997,Europe,3092471,74.1,96.97,2.61,3909,10.70225873
Albania,1998,Europe,3102898,74.2,97.11,2.54,4434,12.13963039
Albania,1999,Europe,3114851,74.2,97.25,2.47,4912,13.44832307
Albania,2000,Europe,3121965,74.7,97.38,2.38,5305,14.52429843
Albania,2001,Europe,3124093,75.1,97.51,2.29,5730,15.68788501
Albania,2002,Europe,3123112,75.5,97.64,2.2,5913,16.1889117
Albania,2003,Europe,3117045,75.7,97.75,2.1,6274,17.17727584
Albania,2004,Europe,3103758,75.9,97.85,2,6672,18.26694045
Albania,2005,Europe,3082172,76.2,97.95,1.92,7075,19.37029432
Albania,2006,Europe,3050741,76.4,98.05,1.85,7476,20.46817248
Albania,2007,Europe,3010849,76.6,98.13,1.8,7977,21.83983573
Albania,2008,Europe,2968026,76.8,98.21,1.76,8644,23.6659822
Albania,2009,Europe,2929886,77,98.27,1.74,8994,24.62422998
Albania,2010,Europe,2901883,77.2,98.34,1.74,9374,25.66461328
Albania,2011,Europe,2886010,77.4,98.4,1.75,9640,26.39288159
Albania,2012,Europe,2880667,77.5,98.45,1.76,9811,26.86105407
Albania,2013,Europe,2883281,77.7,98.51,1.77,9961,27.27173169
Albania,2014,Europe,2889676,77.9,98.56,1.78,10160,27.816564
Albania,2015,Europe,2896679,78,98.6,1.78,10620,29.07597536
Algeria,1800,Africa,2503218,28.82,53.979,6.99,716,1.960301164
Algeria,1810,Africa,2595056,28.82,53.979,6.99,725,1.984941821
Algeria,1820,Africa,2713079,28.82,53.979,6.99,735,2.012320329
Algeria,1830,Africa,2880355,28.82,53.979,6.99,819,2.242299795
Algeria,1840,Africa,3082721,28.82,53.979,6.99,913,2.499657769
Algeria,1850,Africa,3299305,15,53.979,6.99,1017,2.784394251
Algeria,1860,Africa,3536468,28.82,53.979,6.99,1134,3.104722793
Algeria,1870,Africa,3811028,22,53.979,6.99,1264,3.460643395
Algeria,1880,Africa,4143163,28.82,53.979,6.99,1409,3.857631759
Algeria,1890,Africa,4525691,28.82,53.979,6.99,1570,4.298425736
Algeria,1900,Africa,4946166,28.86,54.079,6.99,1750,4.791238877
Algeria,1910,Africa,5404045,30.79,54.794,6.99,1950,5.338809035
Algeria,1920,Africa,6063800,27.5,55.755,6.99,2358,6.455852156
Algeria,1930,Africa,6876190,31.14,58.825,7.12,2942,8.054757016
Algeria,1940,Africa,7797418,33.72,63.139,7.39,3486,9.544147844
Algeria,1950,Africa,8872247,42.77,70.787,7.65,3980,10.89664613
Algeria,1951,Africa,9039913,43.03,71.813,7.65,3957,10.83367556
Algeria,1952,Africa,9216395,43.5,72.803,7.65,4070,11.1430527
Algeria,1953,Africa,9405445,43.96,73.758,7.65,4077,11.16221766
Algeria,1954,Africa,9609507,44.44,74.68,7.65,4307,11.79192334
Algeria,1955,Africa,9829717,44.93,74.84,7.65,4359,11.93429158
Algeria,1956,Africa,10065829,45.44,74.99,7.65,4712,12.90075291
Algeria,1957,Africa,10316288,45.94,75.1,7.65,5166,14.14373717
Algeria,1958,Africa,10578453,46.45,75.23,7.65,5273,14.4366872
Algeria,1959,Africa,10848971,46.97,75.36,7.65,6147,16.82956879
Algeria,1960,Africa,11124892,47.5,75.43,7.65,6470,17.71389459
Algeria,1961,Africa,11404859,48.02,75.41,7.65,5602,15.33744011
Algeria,1962,Africa,11690152,48.55,75.37,7.65,4481,12.26830938
Algeria,1963,Africa,11985130,49.07,75.33,7.65,5551,15.19780972
Algeria,1964,Africa,12295973,49.58,75.27,7.65,5693,15.58658453
Algeria,1965,Africa,12626953,50.09,75.18,7.66,5916,16.19712526
Algeria,1966,Africa,12980269,50.58,75.11,7.66,5478,14.99794661
Algeria,1967,Africa,13354197,51.05,75.11,7.66,5811,15.90965092
Algeria,1968,Africa,13744383,51.49,75.2,7.66,6319,17.30047912
Algeria,1969,Africa,14144437,51.95,75.42,7.65,6747,18.47227926
Algeria,1970,Africa,14550033,52.41,75.78,7.64,7227,19.78644764
Algeria,1971,Africa,14960111,52.88,76.27,7.62,6427,17.59616701
Algeria,1972,Africa,15377095,53.38,76.91,7.59,7556,20.68720055
Algeria,1973,Africa,15804428,53.91,77.66,7.55,7581,20.75564682
Algeria,1974,Africa,16247113,54.52,78.51,7.49,7812,21.38809035
Algeria,1975,Africa,16709098,55.24,79.45,7.42,8119,22.22861054
Algeria,1976,Africa,17190236,56.11,80.43,7.34,8400,22.99794661
Algeria,1977,Africa,17690184,57.13,81.49,7.24,8888,24.3340178
Algeria,1978,Africa,18212331,58.28,82.61,7.14,9730,26.63928816
Algeria,1979,Africa,18760761,59.56,83.83,7.02,10293,28.18069815
Algeria,1980,Africa,19337723,60.92,85.2,6.89,10166,27.8329911
Algeria,1981,Africa,19943667,62.31,86.74,6.74,10160,27.816564
Algeria,1982,Africa,20575701,63.69,88.41,6.58,10477,28.6844627
Algeria,1983,Africa,21228288,64.97,90.11,6.39,10696,29.28405202
Algeria,1984,Africa,21893857,66.15,91.64,6.19,10947,29.97125257
Algeria,1985,Africa,22565908,67.18,92.88,5.98,11030,30.19849418
Algeria,1986,Africa,23241276,68.04,93.81,5.75,10722,29.35523614
Algeria,1987,Africa,23917889,68.75,94.47,5.51,10378,28.41341547
Algeria,1988,Africa,24591493,69.33,94.88,5.26,9888,27.07186858
Algeria,1989,Africa,25257671,69.81,95.14,5.01,10115,27.69336071
Algeria,1990,Africa,25912364,70.2,95.31,4.76,10113,27.68788501
Algeria,1991,Africa,26554277,70.5,95.42,4.5,9748,26.68856947
Algeria,1992,Africa,27180921,70.9,95.5,4.24,9693,26.53798768
Algeria,1993,Africa,27785977,71.2,95.58,3.97,9279,25.40451745
Algeria,1994,Africa,28362015,71.4,95.65,3.71,9006,24.65708419
Algeria,1995,Africa,28904300,71.6,95.74,3.45,9168,25.10061602
Algeria,1996,Africa,29411839,72.1,95.82,3.21,9375,25.66735113
Algeria,1997,Africa,29887717,72.4,95.88,2.99,9322,25.52224504
Algeria,1998,Africa,30336880,72.6,95.93,2.79,9646,26.40930869
Algeria,1999,Africa,30766551,73,95.98,2.63,9810,26.85831622
Algeria,2000,Africa,31183658,73.3,96.03,2.51,9885,27.06365503
Algeria,2001,Africa,31590320,73.5,96.11,2.44,10203,27.93429158
Algeria,2002,Africa,31990387,73.8,96.22,2.41,10634,29.11430527
Algeria,2003,Africa,32394886,73.9,96.35,2.41,11251,30.80355921
Algeria,2004,Africa,32817225,74.4,96.49,2.45,11575,31.69062286
Algeria,2005,Africa,33267887,74.8,96.64,2.51,12077,33.06502396
Algeria,2006,Africa,33749328,75,96.79,2.58,12088,33.09514031
Algeria,2007,Africa,34261971,75.3,96.93,2.66,12289,33.64544832
Algeria,2008,Africa,34811059,75.5,97.05,2.73,12314,33.71389459
Algeria,2009,Africa,35401790,75.7,97.16,2.78,12285,33.63449692
Algeria,2010,Africa,36036159,76,97.26,2.82,12494,34.20670773
Algeria,2011,Africa,36717132,76.1,97.34,2.83,12606,34.51334702
Algeria,2012,Africa,37439427,76.2,97.42,2.82,12779,34.98699521
Algeria,2013,Africa,38186135,76.3,97.48,2.8,12893,35.2991102
Algeria,2014,Africa,38934334,76.3,97.54,2.76,13179,36.08213552
Algeria,2015,Africa,39666519,76.4,97.6,2.71,13434,36.78028747
Angola,1800,Africa,1567028,26.98,51.432,6.93,618,1.691991786
Angola,1810,Africa,1567028,26.98,51.432,6.94,645,1.765913758
Angola,1820,Africa,1597530,26.98,51.432,6.94,674,1.845311431
Angola,1830,Africa,1686390,26.98,51.432,6.95,704,1.927446954
Angola,1840,Africa,1813100,26.98,51.432,6.96,736,2.015058179
Angola,1850,Africa,1949329,26.98,51.432,6.97,769,2.105407255
Angola,1860,Africa,2110747,26.98,51.432,6.97,804,2.201232033
Angola,1870,Africa,2285417,26.98,51.432,6.98,840,2.299794661
Angola,1880,Africa,2473597,26.98,51.432,6.99,878,2.403832991
Angola,1890,Africa,2677047,26.98,51.432,6.99,917,2.510609172
Angola,1900,Africa,2898155,26.98,51.537,7,958,2.622861054
Angola,1910,Africa,3136718,26.98,52.292,7.01,1001,2.740588638
Angola,1920,Africa,3387663,26.98,53.426,7.02,1245,3.40862423
Angola,1930,Africa,3642200,26.98,54.566,7,1693,4.635181383
Angola,1940,Africa,3920011,26.98,55.706,6.96,2301,6.299794661
Angola,1950,Africa,4354882,30.7,59.508,6.93,3125,8.55578371
Angola,1951,Africa,4439705,31.05,59.847,6.94,3202,8.76659822
Angola,1952,Africa,4529381,31.59,60.428,6.98,3281,8.982888433
Angola,1953,Africa,4621691,32.14,61.052,7.02,3359,9.196440794
Angola,1954,Africa,4714970,32.69,61.717,7.06,3225,8.829568789
Angola,1955,Africa,4808114,33.24,62.428,7.1,3437,9.409993155
Angola,1956,Africa,4900594,33.78,63.17,7.14,3326,9.106091718
Angola,1957,Africa,4992439,34.33,63.955,7.19,3592,9.834360027
Angola,1958,Africa,5084166,34.88,64.775,7.23,3728,10.20670773
Angola,1959,Africa,5176662,35.43,65.582,7.28,3687,10.09445585
Angola,1960,Africa,5270844,35.98,66.382,7.32,3775,10.33538672
Angola,1961,Africa,5367287,36.53,67.166,7.35,4212,11.53182752
Angola,1962,Africa,5465905,37.08,67.944,7.39,4034,11.04449008
Angola,1963,Africa,5565808,37.63,68.715,7.41,4176,11.43326489
Angola,1964,Africa,5665701,38.18,69.48,7.43,4573,12.52019165
Angola,1965,Africa,5765025,38.74,70.245,7.43,4840,13.25119781
Angola,1966,Africa,5863568,39.28,71.001,7.42,5043,13.80698152
Angola,1967,Africa,5962831,39.84,71.76,7.4,5253,14.38193018
Angola,1968,Africa,6066094,40.39,72.472,7.38,5093,13.94387406
Angola,1969,Africa,6177703,40.95,73.141,7.34,5158,14.12183436
Angola,1970,Africa,6300969,41.5,73.771,7.3,5397,14.7761807
Angola,1971,Africa,6437645,42.06,74.068,7.26,5614,15.37029432
Angola,1972,Africa,6587647,42.62,74.361,7.23,5511,15.08829569
Angola,1973,Africa,6750215,43.17,74.651,7.21,5831,15.96440794
Angola,1974,Africa,6923749,43.71,74.937,7.19,5880,16.09856263
Angola,1975,Africa,7107334,44.22,75.221,7.19,5454,14.93223819
Angola,1976,Africa,7299508,44.68,75.501,7.19,5044,13.80971937
Angola,1977,Africa,7501320,45.12,75.778,7.19,4956,13.5687885
Angola,1978,Africa,7717139,45.5,76.052,7.19,4572,12.5174538
Angola,1979,Africa,7952882,45.84,76.322,7.2,4458,12.20533881
Angola,1980,Africa,8211950,46.14,76.59,7.2,4443,12.16427105
Angola,1981,Africa,8497950,46.42,76.72,7.2,4110,11.25256674
Angola,1982,Africa,8807511,46.69,76.85,7.2,3970,10.86926762
Angola,1983,Africa,9128655,46.96,76.98,7.21,3996,10.94045175
Angola,1984,Africa,9444918,47.23,77.09,7.21,4099,11.22245038
Angola,1985,Africa,9745209,47.5,77.17,7.21,4117,11.27173169
Angola,1986,Africa,10023700,47.75,77.25,7.21,4135,11.321013
Angola,1987,Africa,10285712,47.99,77.31,7.2,4319,11.82477755
Angola,1988,Africa,10544904,48.2,77.35,7.19,4455,12.19712526
Angola,1989,Africa,10820992,48.4,77.38,7.18,4365,11.95071869
Angola,1990,Africa,11127870,48.6,77.4,7.17,4232,11.58658453
Angola,1991,Africa,11472173,49.3,77.41,7.14,4056,11.10472279
Angola,1992,Africa,11848971,49.6,77.4,7.12,3656,10.00958248
Angola,1993,Africa,12246786,48.4,77.42,7.09,2663,7.290896646
Angola,1994,Africa,12648483,50,77.45,7.05,2669,7.307323751
Angola,1995,Africa,13042666,50.9,77.52,7.02,2859,7.8275154
Angola,1996,Africa,13424813,51.3,77.6,6.98,3091,8.462696783
Angola,1997,Africa,13801868,51.7,77.74,6.95,3246,8.887063655
Angola,1998,Africa,14187710,51.8,77.92,6.91,3376,9.242984257
Angola,1999,Africa,14601983,51.8,78.11,6.88,3389,9.278576318
Angola,2000,Africa,15058638,52.3,78.33,6.84,3387,9.273100616
Angola,2001,Africa,15562791,52.5,78.59,6.81,3417,9.35523614
Angola,2002,Africa,16109696,53.3,78.83,6.78,3759,10.29158111
Angola,2003,Africa,16691395,53.9,79.08,6.74,3819,10.45585216
Angola,2004,Africa,17295500,54.5,79.33,6.7,4087,11.18959617
Angola,2005,Africa,17912942,55.2,79.61,6.66,4667,12.77754962
Angola,2006,Africa,18541467,55.7,79.95,6.6,5445,14.90759754
Angola,2007,Africa,19183907,56.2,80.36,6.52,6453,17.66735113
Angola,2008,Africa,19842251,56.7,80.8,6.43,7103,19.44695414
Angola,2009,Africa,20520103,57.1,81.27,6.33,7039,19.27173169
Angola,2010,Africa,21219954,57.6,81.75,6.22,7047,19.2936345
Angola,2011,Africa,21942296,58.1,82.27,6.1,7094,19.42231348
Angola,2012,Africa,22685632,58.5,82.78,5.98,7230,19.79466119
Angola,2013,Africa,23448202,58.8,83.29,5.86,7488,20.50102669
Angola,2014,Africa,24227524,59.2,83.78,5.75,7546,20.65982204
Angola,2015,Africa,25021974,59.6,84.31,5.65,7615,20.84873374
Antigua and Barbuda,1800,America,37000,33.54,52.64,5,757,2.072553046
Antigua and Barbuda,1810,America,37000,33.54,56.333,4.96,758,2.075290897
Antigua and Barbuda,1820,America,37000,33.54,59.738,4.93,759,2.078028747
Antigua and Barbuda,1830,America,37000,33.54,62.878,4.89,812,2.223134839
Antigua and Barbuda,1840,America,37000,33.54,65.773,4.85,868,2.376454483
Antigua and Barbuda,1850,America,37000,33.54,68.442,4.82,929,2.543463381
Antigua and Barbuda,1860,America,36532,33.54,70.903,4.78,994,2.721423682
Antigua and Barbuda,1870,America,35546,33.54,73.172,4.74,1063,2.910335387
Antigua and Barbuda,1880,America,35222,33.54,75.264,4.7,1137,3.112936345
Antigua and Barbuda,1890,America,36286,33.54,77.193,4.67,1216,3.329226557
Antigua and Barbuda,1900,America,34925,33.54,78.972,4.63,1301,3.561943874
Antigua and Barbuda,1910,America,32119,33.54,80.612,4.59,1391,3.808350445
Antigua and Barbuda,1920,America,30000,33.54,82.124,4.56,1684,4.610540726
Antigua and Barbuda,1930,America,33647,40.98,83.518,4.52,2159,5.911019849
Antigua and Barbuda,1940,America,38495,49.26,84.803,4.48,2767,7.575633128
Antigua and Barbuda,1950,America,46301,57.97,86.953,4.45,3544,9.70294319
Antigua and Barbuda,1951,America,48306,58.26,87.28,4.46,3633,9.94661191
Antigua and Barbuda,1952,America,49887,58.8,87.729,4.5,3723,10.19301848
Antigua and Barbuda,1953,America,51092,59.34,88.182,4.52,3817,10.45037645
Antigua and Barbuda,1954,America,51979,59.87,88.64,4.53,3912,10.71047228
Antigua and Barbuda,1955,America,52611,60.41,89.1,4.53,4010,10.97878166
Antigua and Barbuda,1956,America,53062,60.93,89.503,4.53,4110,11.25256674
Antigua and Barbuda,1957,America,53411,61.45,89.966,4.51,4213,11.53456537
Antigua and Barbuda,1958,America,53744,61.97,90.428,4.49,4319,11.82477755
Antigua and Barbuda,1959,America,54143,62.48,90.874,4.46,4427,12.12046543
Antigua and Barbuda,1960,America,54681,62.97,91.255,4.43,4537,12.42162902
Antigua and Barbuda,1961,America,55403,63.46,91.675,4.39,4651,12.73374401
Antigua and Barbuda,1962,America,56311,63.93,92.035,4.34,4767,13.0513347
Antigua and Barbuda,1963,America,57368,64.38,92.382,4.3,4886,13.37713895
Antigua and Barbuda,1964,America,58500,64.81,92.722,4.25,5008,13.71115674
Antigua and Barbuda,1965,America,59653,65.23,93.009,4.19,5133,14.05338809
Antigua and Barbuda,1966,America,60818,65.63,93.331,4.13,5262,14.40657084
Antigua and Barbuda,1967,America,62002,66.03,93.647,4.04,5393,14.7652293
Antigua and Barbuda,1968,America,63176,66.41,93.903,3.94,5528,15.13483915
Antigua and Barbuda,1969,America,64307,66.81,94.184,3.82,5666,15.51266256
Antigua and Barbuda,1970,America,65369,67.19,94.413,3.68,5807,15.89869952
Antigua and Barbuda,1971,America,66338,67.56,94.627,3.52,6088,16.66803559
Antigua and Barbuda,1972,America,67205,67.94,94.865,3.33,6378,17.46201232
Antigua and Barbuda,1973,America,67972,68.3,95.056,3.12,6770,18.53524983
Antigua and Barbuda,1974,America,68655,68.64,95.242,2.91,6888,18.85831622
Antigua and Barbuda,1975,America,69253,68.99,95.423,2.7,6458,17.68104038
Antigua and Barbuda,1976,America,69782,69.32,95.602,2.51,5885,16.11225188
Antigua and Barbuda,1977,America,70223,69.64,95.778,2.36,6371,17.44284736
Antigua and Barbuda,1978,America,70508,69.96,95.917,2.24,6691,18.31895962
Antigua and Barbuda,1979,America,70553,70.28,96.084,2.16,7536,20.63244353
Antigua and Barbuda,1980,America,70301,70.59,96.247,2.12,8169,22.36550308
Antigua and Barbuda,1981,America,69750,70.9,96.399,2.1,8689,23.78918549
Antigua and Barbuda,1982,America,68950,71.22,96.545,2.1,8827,24.1670089
Antigua and Barbuda,1983,America,67958,71.52,96.684,2.1,9540,26.11909651
Antigua and Barbuda,1984,America,66863,71.82,96.817,2.1,10388,28.44079398
Antigua and Barbuda,1985,America,65744,72.13,96.946,2.09,11383,31.16495551
